,nome,cpf,idade,data,endereço,estado,pais
0,Sarah Cassiano,297.350.416-34,26,21/12/1998,"Praia da Luz, 83
Belmonte
15046-695 Costa Paulista / PI",Rondônia,Brasil
1,Allana da Paz,018.352.479-97,54,14/07/1971,"Rodovia Rodrigues, 39
Santo Agostinho
66593-590 Marques / RR",Roraima,Brasil
2,Dante Silveira,982.630.751-30,35,27/04/1990,"Feira Teixeira, 496
Vila Cloris
65321-967 Gomes do Sul / AC",Amazonas,Brasil
3,Luiza Mendonça,309.465.281-60,33,22/10/1991,"Conjunto Pietra Vieira, 679
Jardim Felicidade
88446004 Abreu do Sul / RO",Paraná,Brasil
4,Raul Moreira,978.306.451-75,58,16/02/1967,"Trevo de Guerra
Outro
72882255 Freitas / GO",Paraná,Brasil
5,Davi Luiz Sales,826.437.109-40,56,11/03/1969,"Núcleo Brito, 54
Marmiteiros
60137606 Sousa / SP",Amapá,Brasil
6,Helena Câmara,634.710.592-61,56,05/11/1968,"Feira Nogueira, 90
Vila São Rafael
76663509 Marques Paulista / SP",Mato Grosso do Sul,Brasil
7,João Guilherme Montenegro,912.634.580-33,52,07/01/1973,"Estação Casa Grande, 876
Vila São Francisco
37808304 da Paz / ES",Minas Gerais,Brasil
8,Dr. Marcelo Pimenta,876.910.425-58,35,08/01/1990,"Conjunto Machado, 66
Vila Nova Cachoeirinha 2ª Seção
67235433 Pires / PI",Amapá,Brasil
9,Antony Cavalcante,824.165.093-06,18,15/03/2007,"Área Azevedo, 6
Ventosa
19110-769 Oliveira de Goiás / DF",Sergipe,Brasil
