nome,cpf,idade,data,endereco,bairro,estado
Nome Inválido,640 .***.***-01,92.0,1933-12-06,"trevo emanuel silva, 482
vila tirol
47847085 pereira / ap",vila tirol,AP
Nome Inválido,651 .***.***-46,41.0,1984-03-06,"recanto moraes, 7
ernesto nascimento
96497-621 da rosa / pb",ernesto nascimento,PB
Nome Inválido,164 .***.***-43,78.0,1947-04-12,"residencial de pereira, 20
jatobá
62127-165 gomes de santos / al",jatobá,AL
Nome Inválido,085 .***.***-30,55.0,1970-04-16,"parque almeida, 66
vila suzana segunda seção
09805-686 santos / se",vila suzana segunda seção,SE
Nome Inválido,520 .***.***-21,70.0,1955-10-25,"rodovia de pereira, 51
estrela
44830637 mendes de moraes / ba",estrela,BA
Nome Inválido,210 .***.***-20,71.0,1954-05-09,"esplanada lavínia ramos
são francisco
39467-536 da mata / sp",são francisco,SP
Nome Inválido,960 .***.***-80,42.0,1983-03-14,"praça cavalcanti, 65
conjunto celso machado
97788-105 vieira / ro",conjunto celso machado,RO
Nome Inválido,302 .***.***-83,32.0,1993-03-10,"esplanada monteiro, 88
conjunto paulo vi
06403-281 moraes / go",conjunto paulo vi,GO
Nome Inválido,451 .***.***-84,51.0,1974-05-16,"ladeira monteiro, 57
vila primeiro de maio
76835-491 moura dos dourados / ce",vila primeiro de maio,CE
Nome Inválido,843 .***.***-50,53.0,1972-08-19,"recanto luiz miguel jesus, 35
vila aeroporto jaraguá
50536-588 oliveira de goiás / pb",vila aeroporto jaraguá,PB
Nome Inválido,520 .***.***-01,91.0,1934-11-26,"ladeira de porto, 38
nova america
91782042 barros de da mata / to",nova america,TO
Nome Inválido,384 .***.***-78,24.0,2001-01-21,"via de jesus, 57
vila da amizade
93849-206 correia / pb",vila da amizade,PB
Nome Inválido,736 .***.***-19,56.0,1969-03-09,"lago castro, 94
mariano de abreu
24415-900 porto / rj",mariano de abreu,RJ
Nome Inválido,128 .***.***-60,85.0,1940-11-22,"setor isadora da rosa, 583
chácara leonina
20125668 teixeira / rr",chácara leonina,RR
Nome Inválido,078 .***.***-97,84.0,1941-03-10,"viaduto pedro lucas cavalcanti, 49
tiradentes
27653-901 rezende / rs",tiradentes,RS
Nome Inválido,305 .***.***-60,38.0,1987-02-03,"rua vitor hugo pinto, 21
anchieta
08712074 ramos / rj",anchieta,RJ
Nome Inválido,397 .***.***-86,78.0,1947-03-14,"rodovia aragão, 245
conjunto lagoa
61224-422 pinto / mg",conjunto lagoa,MG
Nome Inválido,374 .***.***-20,71.0,1954-07-20,"alameda de lima, 65
boa esperança
49621639 fernandes de moraes / pe",boa esperança,PE
Nome Inválido,135 .***.***-77,64.0,1961-10-19,"trecho lucas sales, 24
dom bosco
09228582 da cunha alegre / ro",dom bosco,RO
Nome Inválido,097 .***.***-41,56.0,1969-06-27,"passarela igor novaes, 89
pompéia
32670-098 martins / se",pompéia,SE
Nome Inválido,468 .***.***-57,83.0,1942-07-05,"sítio luna carvalho, 98
novo santa cecilia
32066-338 nunes / am",novo santa cecilia,AM
Nome Inválido,625 .***.***-25,75.0,1950-09-13,"esplanada de castro, 4
vila nova cachoeirinha 1ª seção
69704-913 pires / mt",vila nova cachoeirinha 1ª seção,MT
Nome Inválido,036 .***.***-33,36.0,1989-01-18,"estrada de aragão, 1
vila barragem santa lúcia
49120-746 campos / ac",vila barragem santa lúcia,AC
Nome Inválido,508 .***.***-47,46.0,1979-07-04,"via gabriela nascimento
madre gertrudes
45044395 nascimento do galho / ap",madre gertrudes,AP
Nome Inválido,186 .***.***-57,80.0,1945-03-06,"travessa vinicius da mata, 52
alta tensão 1ª seção
66380-981 dias do campo / ce",alta tensão 1ª seção,CE
Nome Inválido,054 .***.***-32,64.0,1961-02-22,"largo vieira
milionario
78970057 dias / df",milionario,DF
Nome Inválido,873 .***.***-69,59.0,1966-11-30,"área lucas gabriel silveira, 51
anchieta
55284-530 rocha / pe",anchieta,PE
Nome Inválido,819 .***.***-05,62.0,1963-08-28,"jardim isabelly gomes, 23
nossa senhora de fátima
81186-838 da luz da serra / es",nossa senhora de fátima,ES
Nome Inválido,196 .***.***-34,97.0,1928-10-24,"distrito de silveira
dona clara
14225405 araújo / am",dona clara,AM
Nome Inválido,968 .***.***-65,65.0,1960-10-21,"travessa ana júlia da rocha
miramar
01287083 fogaça do oeste / to",miramar,TO
Nome Inválido,208 .***.***-26,40.0,1985-09-07,"avenida milena pires, 360
vila rica
71412995 pereira / ap",vila rica,AP
Nome Inválido,067 .***.***-95,57.0,1968-09-09,"rodovia marcelo souza, 25
estrela
24438186 vieira / rn",estrela,RN
Nome Inválido,853 .***.***-39,53.0,1972-05-29,"pátio alexandre teixeira, 243
indaiá
21474228 cavalcanti paulista / rr",indaiá,RR
Nome Inválido,593 .***.***-24,52.0,1973-06-17,"via clara da rosa, 928
castelo
87117-636 caldeira de campos / rr",castelo,RR
Nome Inválido,278 .***.***-09,60.0,1965-05-07,"estação ribeiro, 46
venda nova
45512787 silva / pb",venda nova,PB
Nome Inválido,120 .***.***-17,62.0,1963-11-01,"sítio de cavalcanti, 97
juliana
21342254 monteiro de campos / pa",juliana,PA
Nome Inválido,974 .***.***-03,53.0,1972-01-13,"condomínio de rodrigues, 52
conjunto providencia
93625-248 da luz / sc",conjunto providencia,SC
Nome Inválido,526 .***.***-95,73.0,1952-04-14,"rodovia vieira, 63
conjunto taquaril
85325522 pires / rn",conjunto taquaril,RN
Nome Inválido,907 .***.***-25,33.0,1992-11-05,"recanto de da conceição, 1
paraíso
52583-232 sales / am",paraíso,AM
Nome Inválido,804 .***.***-85,63.0,1962-11-22,"setor de azevedo, 375
castanheira
56381800 teixeira das pedras / al",castanheira,AL
Nome Inválido,492 .***.***-04,56.0,1969-05-10,"ladeira pietra cunha, 13
vista alegre
86652477 monteiro / pa",vista alegre,PA
Nome Inválido,285 .***.***-76,40.0,1985-08-28,"vereda davi lucca barbosa, 35
estrela do oriente
38759-767 rodrigues de goiás / go",estrela do oriente,GO
Nome Inválido,572 .***.***-92,97.0,1928-12-13,"rodovia ana júlia araújo, 68
vila real 2ª seção
22775-108 da mata dos dourados / pe",vila real 2ª seção,PE
Nome Inválido,948 .***.***-85,25.0,2000-12-03,"distrito de barros, 41
suzana
54500-129 da rocha / rj",suzana,RJ
Nome Inválido,946 .***.***-48,61.0,1964-09-19,"feira campos, 17
cruzeiro
01967-483 ribeiro de pires / df",cruzeiro,DF
Nome Inválido,435 .***.***-82,42.0,1983-07-31,"avenida vitor hugo cardoso, 34
vila são rafael
96831280 da cunha / sc",vila são rafael,SC
Nome Inválido,198 .***.***-10,47.0,1978-07-08,"rodovia de souza, 63
vila nova dos milionarios
81275-813 rocha / ms",vila nova dos milionarios,MS
Nome Inválido,097 .***.***-96,89.0,1936-07-21,"residencial ian da paz, 6
padre eustáquio
41928916 fernandes de correia / pr",padre eustáquio,PR
Nome Inválido,431 .***.***-39,64.0,1961-08-07,"ladeira de da paz, 98
jardim dos comerciarios
48285699 ribeiro / pe",jardim dos comerciarios,PE
Nome Inválido,865 .***.***-00,46.0,1979-06-22,"ladeira pereira, 21
buraco quente
50425764 fogaça verde / ba",buraco quente,BA
Nome Inválido,017 .***.***-14,78.0,1947-09-26,"área barros, 46
salgado filho
98637-706 alves de goiás / ba",salgado filho,BA
Nome Inválido,132 .***.***-52,36.0,1989-04-13,"vereda luiz felipe costa, 70
minaslandia
23088133 moraes / df",minaslandia,DF
Nome Inválido,873 .***.***-50,99.0,1926-12-20,"vila sales, 97
paquetá
59231544 da luz grande / es",paquetá,ES
Nome Inválido,324 .***.***-91,26.0,1999-12-11,"favela alana ribeiro, 318
casa branca
79179-607 barros da praia / ms",casa branca,MS
Nome Inválido,905 .***.***-01,37.0,1988-11-14,"parque freitas, 82
ouro minas
59029142 lima da prata / ac",ouro minas,AC
Nome Inválido,038 .***.***-15,90.0,1935-05-24,"trecho bryan da cunha, 1
betânia
61163162 correia verde / pa",betânia,PA
Nome Inválido,534 .***.***-00,32.0,1993-08-24,"esplanada moreira
pindura saia
93675777 da cunha da mata / es",pindura saia,ES
Nome Inválido,673 .***.***-80,24.0,2001-08-16,"campo de barros, 16
silveira
43534-126 duarte do galho / df",silveira,DF
Nome Inválido,051 .***.***-70,91.0,1934-12-04,"distrito esther campos, 264
apolonia
13908-226 souza / pa",apolonia,PA
Nome Inválido,760 .***.***-39,100.0,1925-03-30,"largo pires, 78
bacurau
13125523 sales verde / ap",bacurau,AP
Nome Inválido,530 .***.***-53,51.0,1974-09-10,"campo isabelly freitas
novo santa cecilia
94562211 da mata / ce",novo santa cecilia,CE
Nome Inválido,412 .***.***-16,71.0,1954-11-15,"favela maria novaes
savassi
60241424 da costa das flores / rr",savassi,RR
Nome Inválido,630 .***.***-65,44.0,1981-10-10,"trevo moraes, 5
cônego pinheiro 1ª seção
38769-503 ramos de rocha / sp",cônego pinheiro 1ª seção,SP
Nome Inválido,836 .***.***-77,99.0,1926-06-12,"rua mendes, 337
penha
06179-472 sales do sul / sp",penha,SP
Nome Inválido,268 .***.***-29,25.0,2000-11-20,"lagoa cardoso, 1
ambrosina
61793-758 da rocha / sp",ambrosina,SP
Nome Inválido,430 .***.***-50,98.0,1927-10-30,"lago maitê campos, 31
braúnas
72279-259 costa do sul / to",braúnas,TO
Nome Inválido,268 .***.***-82,94.0,1931-04-17,"residencial barbosa, 44
zilah sposito
26601655 aragão de goiás / ap",zilah sposito,AP
Nome Inválido,935 .***.***-97,37.0,1988-02-13,"recanto de rocha, 68
conjunto califórnia i
12467-132 jesus do norte / se",conjunto califórnia i,SE
Nome Inválido,107 .***.***-87,99.0,1926-02-11,"vale gustavo henrique alves, 50
vila madre gertrudes 4ª seção
75200-837 correia grande / al",vila madre gertrudes 4ª seção,AL
Nome Inválido,631 .***.***-00,88.0,1937-08-19,"vila farias
vila satélite
80983484 gonçalves de fogaça / rn",vila satélite,RN
Nome Inválido,179 .***.***-09,24.0,2001-07-20,"fazenda de porto, 3
senhor dos passos
60244655 mendes / ma",senhor dos passos,MA
Nome Inválido,314 .***.***-51,75.0,1950-08-04,"setor miguel pires, 3
ermelinda
63141374 pires / pa",ermelinda,PA
Nome Inválido,759 .***.***-93,,1924-05-22,"morro de castro
vila pilar
68132710 vieira do sul / sp",vila pilar,SP
Nome Inválido,812 .***.***-98,30.0,1995-10-05,"praça ferreira, 764
vila sumaré
04459429 teixeira da serra / ce",vila sumaré,CE
Nome Inválido,039 .***.***-96,48.0,1977-03-20,"vereda cauê novaes, 14
conjunto califórnia ii
17511624 caldeira / ba",conjunto califórnia ii,BA
Nome Inválido,863 .***.***-22,80.0,1945-11-24,"fazenda de pinto, 42
são jorge 1ª seção
94419954 correia de mendes / pr",são jorge 1ª seção,PR
Nome Inválido,492 .***.***-25,83.0,1942-07-24,"loteamento luiz felipe teixeira, 87
novo ouro preto
09824175 araújo / am",novo ouro preto,AM
Nome Inválido,347 .***.***-70,40.0,1985-09-30,"quadra emanuella da conceição, 29
cruzeiro
48756-294 fogaça de correia / ms",cruzeiro,MS
Nome Inválido,365 .***.***-10,65.0,1960-10-29,"rodovia danilo costa, 17
alta tensão 2ª seção
93173-991 almeida do oeste / ms",alta tensão 2ª seção,MS
Nome Inválido,940 .***.***-04,57.0,1968-11-21,"vila stephany lima
vista do sol
43271006 costa / pa",vista do sol,PA
Nome Inválido,579 .***.***-05,73.0,1952-01-03,"morro de cardoso, 47
marçola
82157940 melo / se",marçola,SE
